"pageName","facebookId","facebookUrl","feedbackId","postId","shares","comments","isVideo","likes","text","time","url","user/id","user/name","user/profilePic","user/profileUrl","viewsCount","inputUrl","pageAdLibrary/id","pageAdLibrary/is_business_page_active"
"delish","100059438474191","https://www.facebook.com/delish/","ZmVlZGJhY2s6MTI3NDgyNjU3MTE3NTI4MA==","1274826571175280","0","2",,"6","These January Weeknight Dinner Recipes Are Just What You Need To Start The Year Off Right","2026-01-19T03:00:17.000Z","https://www.facebook.com/delish/posts/pfbid0Sfh12LgELneJky3nKvVGkXaZuaW1QTvrmLWZ4BZ2f8GPswQafJC2PLHURsUc3ttvl","100059438474191","Delish","https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-1/581865325_1223988786259059_7001347943341286496_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qbjAWd_6I_0Q7kNvwFPzk6I&_nc_oc=AdlSnweFl-Y5lIu5_aghPIBaDKaAsC413efkR2Wtnn8-15HZaDOCB3EYmmaMZhRZcc0&_nc_zt=24&_nc_ht=scontent-atl3-3.xx&_nc_gid=yZK4hleXlV_KR8oDvqWIVA&oh=00_AfrXQUC87uj5ZT6Hvoil7gPFfF19byVKpmy0bXhGLp1mGg&oe=6973C30D","https://www.facebook.com/100059438474191",,"https://www.facebook.com/delish/","41937927436","false"
"delish","100059438474191","https://www.facebook.com/delish/","ZmVlZGJhY2s6MTI3NDc5NDY1NDUxMTgwNQ==","1274794654511805","4","1",,"15","21 Quick & Easy Healthy Dinners To Make When You Simply Can't Be Bothered","2026-01-19T02:00:20.000Z","https://www.facebook.com/delish/posts/pfbid033NRzeHYSm1gYiz1mV9EtNAwLzi1DASdwaCAScN5uPCiqWv8cdXzZotmnePLJxrU1l","100059438474191","Delish","https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-1/581865325_1223988786259059_7001347943341286496_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qbjAWd_6I_0Q7kNvwFPzk6I&_nc_oc=AdlSnweFl-Y5lIu5_aghPIBaDKaAsC413efkR2Wtnn8-15HZaDOCB3EYmmaMZhRZcc0&_nc_zt=24&_nc_ht=scontent-atl3-3.xx&_nc_gid=yZK4hleXlV_KR8oDvqWIVA&oh=00_AfrXQUC87uj5ZT6Hvoil7gPFfF19byVKpmy0bXhGLp1mGg&oe=6973C30D","https://www.facebook.com/100059438474191",,"https://www.facebook.com/delish/","41937927436","false"
"delish","100059438474191","https://www.facebook.com/delish/","ZmVlZGJhY2s6MTI3NDc2Nzg3MTE4MTE1MA==","1274767871181150","1","3",,"6","If you hate thick shakes, keep reading. Click the link below to learn more.","2026-01-19T01:00:30.000Z","https://www.facebook.com/delish/posts/pfbid02WFjZoCYjTFAzHywXEANza9Ag9YHRy2VRqjxjE8PWD3RRFgrAMARZb1zhdjSBADUTl","100059438474191","Delish","https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-1/581865325_1223988786259059_7001347943341286496_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qbjAWd_6I_0Q7kNvwFPzk6I&_nc_oc=AdlSnweFl-Y5lIu5_aghPIBaDKaAsC413efkR2Wtnn8-15HZaDOCB3EYmmaMZhRZcc0&_nc_zt=24&_nc_ht=scontent-atl3-3.xx&_nc_gid=yZK4hleXlV_KR8oDvqWIVA&oh=00_AfrXQUC87uj5ZT6Hvoil7gPFfF19byVKpmy0bXhGLp1mGg&oe=6973C30D","https://www.facebook.com/100059438474191",,"https://www.facebook.com/delish/","41937927436","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzOTEwOTY0NDI0NDg5MQ==","1439109644244891","7","12",,"348","सबका पसंदीदा ऑथेंटिक गाजर का हलवा, बिल्कुल पारंपरिक विधि से 🥕✨  बिना किसी शॉर्टकट के, स्टेप-बाय-स्टेप, ठीक उसी तरह जैसे दादी-नानी बनाती थीं.
रेसिपी वीडियो कमेन्ट में है.","2026-01-19T06:15:53.000Z","https://www.facebook.com/nishamadhulika/posts/pfbid0ZUp61bJqBfjfBhX8aAoVxUWoPepU5iTmD2X93KE7Leq5eNNfZayRz9yZjbr1tajrl","100044376071574","NishaMadhulika","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwF7S0gq&_nc_oc=AdnYNKwrZspVZLqHMl3YOfu_LvhGlVZb5DFpBZbGTw1CFdGlfwGBcAocK9Z0NSzfl0w&_nc_zt=24&_nc_ht=scontent-dfw5-1.xx&_nc_gid=dyqRpX9XHzh9JSjdwVRCcw&oh=00_AfrYPUYQ972F4ADF1SxlbJnyeRZfBjEpi7_cJGeokYEMdA&oe=6973E09B","https://www.facebook.com/100044376071574",,"https://www.facebook.com/nishamadhulika/","107303196006488","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzODM5MTg5MDk4MzMzMw==","1438391890983333","132","102","true","3770","पालक पनीर का परांठा, ब्रंच,टिफिन ब्रेकफास्ट से डिनर तक, रोल बनाकर खाएं या सब्जी-दही के साथ – हर तरह फिट, बच्चों और बड़ों सभी का फेवरेट इतना सॉफ्ट परांठा आप बार-बार बनायेंगे.
Tasty & Nutritious Spinach Paneer Paratha for Breakfast, Lunch, Dinner & Travel. The Ultimate SWAD.

#parathareceipe #breakfast #stuffedparatharecipe","2026-01-18T09:30:17.000Z","https://www.facebook.com/nishamadhulika/videos/4131138767146620/","100044376071574","NishaMadhulika","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwF7S0gq&_nc_oc=AdnYNKwrZspVZLqHMl3YOfu_LvhGlVZb5DFpBZbGTw1CFdGlfwGBcAocK9Z0NSzfl0w&_nc_zt=24&_nc_ht=scontent-dfw5-1.xx&_nc_gid=dyqRpX9XHzh9JSjdwVRCcw&oh=00_AfrYPUYQ972F4ADF1SxlbJnyeRZfBjEpi7_cJGeokYEMdA&oe=6973E09B","https://www.facebook.com/100044376071574","666829","https://www.facebook.com/nishamadhulika/","107303196006488","false"
"nishamadhulika","100044376071574","https://www.facebook.com/nishamadhulika/","ZmVlZGJhY2s6MTQzODM4OTQ0NzY1MDI0NA==","1438389447650244","10","25",,"581","मूंगफली गुड़ की कुरकुरी चिक्की-कुरकुरी व स्वादिष्ट-सर्दियों की खास मिठाई |
रेसिपी वीडियो कमेन्ट में है","2026-01-18T07:05:46.000Z","https://www.facebook.com/nishamadhulika/posts/pfbid034fMFFKHqd4Coq7FvHGgYBrDjF8Gdz4E4DSunzyUBin1XuKZEoiws297LetBS9eC4l","100044376071574","NishaMadhulika","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/454934774_26392836943693088_309673645185975858_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lnPUOk8-MNMQ7kNvwF7S0gq&_nc_oc=AdnYNKwrZspVZLqHMl3YOfu_LvhGlVZb5DFpBZbGTw1CFdGlfwGBcAocK9Z0NSzfl0w&_nc_zt=24&_nc_ht=scontent-dfw5-1.xx&_nc_gid=dyqRpX9XHzh9JSjdwVRCcw&oh=00_AfrYPUYQ972F4ADF1SxlbJnyeRZfBjEpi7_cJGeokYEMdA&oe=6973E09B","https://www.facebook.com/100044376071574",,"https://www.facebook.com/nishamadhulika/","107303196006488","false"
"FoodInsider","100059586639161","https://www.facebook.com/FoodInsider/","ZmVlZGJhY2s6MTI0NjcxNzQyMzk5MTEzNA==","1246717423991134","3","1",,"18","Business Insider's Alice Tecotzky visited Nespresso's nearly 14,000 square-foot NYC store, which offers free coffee and a speakeasy.

Despite the impulse to buy, it could function as a free third space — but she likely won't be back.

(Credit: Alice Tecotzky)

#nyc #nespresso #coffee","2026-01-18T19:30:04.000Z","https://www.facebook.com/FoodInsider/posts/pfbid0XKz7TweS4BQTKNFjpgouTd7AGaH1ewMGNi6ECyYZx8WzxxBikVRuGa9KTuti4LGkl","100059586639161","Insider Food","https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-1/315094323_3243444435960011_7524409898544950562_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NVLYHagY9zYQ7kNvwHXPRSM&_nc_oc=Adml2N1B0hzGf4log6qf3bD_x-_a62c2se0ngV1haWkIHiGZW3KIbclj9QlKSltPjA4&_nc_zt=24&_nc_ht=scontent-lga3-3.xx&_nc_gid=n0pjx_pwJlpu9-dyt5O9Jg&oh=00_AfpmOwb-Tv0dGTb5RyG230hQm7J5j5N_PkA1JGStx4ipAg&oe=6973E7B2","https://www.facebook.com/100059586639161",,"https://www.facebook.com/FoodInsider/","1494731297498009","false"
"FoodInsider","100059586639161","https://www.facebook.com/FoodInsider/","ZmVlZGJhY2s6MTI0NjQyMzg0NDAyMDQ5Mg==","1246423844020492","2",,,"4","Tommy Bahama's restaurant is popular for a business lunch. We ate there to see why &mdash; and left simultaneously underwhelmed and somewhat sold. https://bit.ly/49r69iK","2026-01-18T10:50:46.000Z","https://www.facebook.com/FoodInsider/posts/pfbid02xkeYa7HxZKVBErFH8bS7oS12a1PpECDuoXaibAWaTTwrg2opTCEb8pW2Kc29QH2Ll","100059586639161","Insider Food","https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-1/315094323_3243444435960011_7524409898544950562_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NVLYHagY9zYQ7kNvwHXPRSM&_nc_oc=Adml2N1B0hzGf4log6qf3bD_x-_a62c2se0ngV1haWkIHiGZW3KIbclj9QlKSltPjA4&_nc_zt=24&_nc_ht=scontent-lga3-3.xx&_nc_gid=n0pjx_pwJlpu9-dyt5O9Jg&oh=00_AfpmOwb-Tv0dGTb5RyG230hQm7J5j5N_PkA1JGStx4ipAg&oe=6973E7B2","https://www.facebook.com/100059586639161",,"https://www.facebook.com/FoodInsider/","1494731297498009","false"
"FoodInsider","100059586639161","https://www.facebook.com/FoodInsider/","ZmVlZGJhY2s6MTI0NjAyMTA1NzM5NDEwNA==","1246021057394104","2","1",,"11","The author makes a four-ingredient, Aperol-based drink when she hosts, and it's a true crowd-pleaser.

It's a lighter alternative to heavier cocktails, and you can easily make it nonalcoholic.

(Credit: Rachel Hosie)

#cocktails #aperol #alcohol #nonalcoholic","2026-01-17T19:30:05.000Z","https://www.facebook.com/FoodInsider/posts/pfbid0271Rhh4bBoT4W5fvTpCUME4Y5hyTqBWBD1XgWFM1D1p3UnDgBULLW7fwk2SCdzZXUl","100059586639161","Insider Food","https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-1/315094323_3243444435960011_7524409898544950562_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NVLYHagY9zYQ7kNvwHXPRSM&_nc_oc=Adml2N1B0hzGf4log6qf3bD_x-_a62c2se0ngV1haWkIHiGZW3KIbclj9QlKSltPjA4&_nc_zt=24&_nc_ht=scontent-lga3-3.xx&_nc_gid=n0pjx_pwJlpu9-dyt5O9Jg&oh=00_AfpmOwb-Tv0dGTb5RyG230hQm7J5j5N_PkA1JGStx4ipAg&oe=6973E7B2","https://www.facebook.com/100059586639161",,"https://www.facebook.com/FoodInsider/","1494731297498009","false"
"dilsefoodieofficial","100044360562891","https://www.facebook.com/dilsefoodieofficial/","ZmVlZGJhY2s6MTQ2MjA4NDQwNTI4MDIzMQ==","1462084405280231","0",,,"62","Dhape Da Hotel - Chicken Curry","2026-01-19T10:04:01.000Z","https://www.facebook.com/dilsefoodieofficial/posts/pfbid0fvCfpWkHH8qFxk3hUcg44ZRxQMNYmtrWAy4X5TAhpw5uSgXZSjpNC3GBBqipSSxml","100044360562891","Dil Se Foodie","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/462952390_2738801952960547_5533822125838775837_n.jpg?stp=cp0_dst-jpg_s50x50_tt6&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EYtuEvctQG8Q7kNvwE8MPOo&_nc_oc=AdmhoXT2a0LpmH2adBkJiCyub0e_2P_yHcMP0rQJpDDGhZO8OtM5jsbUGv86nXNqDyc&_nc_zt=24&_nc_ht=scontent-lax3-1.xx&_nc_gid=X3iJLnlqk0_1wyarIAsUtA&oh=00_AfqaDtg0j1r8XcdwjTchSJPz2hZfEu_CKbF8bgFBcSXMBg&oe=6973CF4F","https://www.facebook.com/100044360562891",,"https://www.facebook.com/dilsefoodieofficial/","228123120695122","false"
